id	name	reaction_using_names	reaction_using_ids	Reversibility	enzyme(s)	orfs	nrc-1_genes	type	references
R00396	L-Alanine:NAD+ oxidoreductase (deaminating)	L-Alanine + NAD+ + H2O <=> Pyruvate + NH3 + NADH + H+	C00041 + C00003 + C00001 <=> C00022 + C00014 + C00004 + C00080	1	1.4.1.1			Reaction	PMID:486498 PMID:7371854
R02022	2'-Deoxyuridine 5'-triphosphate:oxydized-thioredoxin 2'-oxidoreductase	dCTP + Oxidized thioredoxin + H2O <=> CTP + Thioredoxin	C00458 + C00343 + C00001 <=> C00063 + C00342	1	1.17.4.2	OE3328R OE4345R OE4346R	VNG1644G VNG2383G VNG2384G	Reaction	
R01385		UDPglucuronate <=> UDP-D-galacturonate	C00167 <=> C00617	1	5.1.3.6	OE2110R OE1113R	VNG0752G VNG0063G	Reaction	
R90050	ABC-T: Iron	Iron (E) + H2O + ATP => Iron + ADP + H+ + Orthophosphate	CE00023 + C00001 + C00002 => C00023 + C00008 + C00080 + C00009	0		OE4591R OE4593R OE2346R OE2348R	VNG2560G VNG2562H VNG0923G VNG0924G	Membrane Transport	PMID:12196172
R90015	ABC-T L-Aspartate	L-Aspartate (E) + ATP + H2O => L-Aspartate + ADP + Orthophosphate + H+	CE00049 + C00002 + C00001 => C00049 + C00008 + C00009 + C00080	0				Membrane Transport	
R00443	UTP:RNA uridylyltransferase	UTP => Pyrophosphate + UMP	C00075 => C00013 + C00105	0	2.7.7.6	OE4740R OE4739R OE4741R OE4742R	VNG2664G VNG2662G VNG2665G VNG2666G	Reaction	
R05221		Adenosyl cobinamide + ATP => Adenosyl cobinamide phosphate + ADP	C06508 + C00002 => C06509 + C00008	0	2.7.1.156			Reaction	
R00996	L-threonine ammonia-lyase	L-Threonine => 2-Oxobutanoate + NH3	C00188 => C00109 + C00014	0	4.3.1.19	OE3931R	VNG2100G	Reaction	
R01086	N-(L-Argininosuccinate) arginie-lyase	N-(L-Arginino)succinate <=> Fumarate + L-Arginine	C03406 <=> C00122 + C00062	1	4.3.2.1	OE4419R	VNG2436G	Reaction	
R00708	L-1-Pyrroline-5-carboxylate:NAD+ oxidoreductase	(S)-1-Pyrroline-5-carboxylate + NADP+ + H2O => L-Glutamate + NADPH + H+	C03912 + C00006 + C00001 => C00025 + C00005 + C00080	0	1.5.1.12	OE2133R OE2190R OE2367F OE4529F	VNG0771G VNG0808G VNG0937G VNG2513G	Reaction	PMID:9827332
R90116	ABC-T: (Oligopeptide)	Oligopeptide (E) + ATP + H2O => Oligopeptide + ADP + Orthophosphate + H+	CE00098 + C00002 + C00001 => C00098 + C00008 + C00009 + C00080	0		OE4302R OE4317F	VNG2344G VNG2363G	Membrane Transport	PMID:10064582
R90023	ABC-T L-Isoleucine	L-Isoleucine (E) + ATP + H2O => L-Isoleucine + ADP + Orthophosphate + H+	CE00407 + C00002 + C00001 => C00407 + C00008 + C00009 + C00080	0				Membrane Transport	
R00214	(S)-Malate:NADP+ oxidoreductase(oxaloacetate-decarboxylating)	(S)-Malate + NAD+ => Pyruvate + CO2 + NADH	C00149 + C00003 => C00022 + C00011 + C00004	0	1.1.1.38 1.1.1.39	OE3308F	VNG1624G	Reaction	
R01880	dGTP:uridine 5'-phosphotransferase	dGTP + Uridine => dGDP + UMP	C00286 + C00299 => C00361 + C00105	0	2.7.1.48	OE2749F	VNG1219G	Reaction	
R00414	UDP-N-acetyl-D-glucosamine 2-epimerase	UDP-N-acetyl-D-glucosamine + H2O <=> N-Acetyl-D-mannosamine + UDP	C00043 + C00001 <=> C00645 + C00015	1	5.1.3.14	OE4703R	VNG2639G	Reaction	
R01082	(S)-Malate hydro-lyase	(S)-Malate <=> Fumarate + H2O	C00149 <=> C00122 + C00001	1	4.2.1.2	OE2935R	VNG1356G	Reaction	PMID:5780095 PMID:9827332
R03658	L-Lysine:tRNALys ligase (AMP-forming)	ATP + L-Lysine + tRNA(Lys) <=> AMP + Pyrophosphate + L-Lysyl-tRNA	C00002 + C00047 + C01646 <=> C00020 + C00013 + C01931	1	6.1.1.6	OE3826F	VNG2017G	Reaction	
R02660	"2-Methylpropanoyl-CoA:(acceptor) 2,3-oxidoreductase"	2-Methylpropanoyl-CoA + Oxygen => 2-Methylprop-2-enoyl-CoA + H2O	C00630 + C00007 => C03460 + C00001	0	1.3.99.2	OE2013R OE1555F OE2138F OE2710F OE3123R OE4500R	VNG0679G VNG0371G VNG0775G VNG1191G VNG1482G VNG2499G	Reaction	
R03858	Lauroyl-CoA:acetyl-CoA C-acyltransferase	Lauroyl-CoA + Acetyl-CoA <=> CoA + 3-Oxotetradecanoyl-CoA	C01832 + C00024 <=> C00010 + C05261	1	2.3.1.16	OE3884F	VNG2063G	Reaction	
R00704	(R)-Lactate:NAD+ oxidoreductase	(R)-Lactate + NAD+ <=> Pyruvate + NADH + H+	C00256 + C00003 <=> C00022 + C00004 + C00080	1	1.1.1.28	OE4399F	VNG2422G	Reaction	PMID:8157586
R90054	Symport: (Orthophosphate:H+)	Orthophosphate (E) + H+ (pmf associated) => Orthophosphate + H+	CE00009 + C90000 => C00009 + C00080	0		OE5132F	VNG6250G	Membrane Transport	
R02487	"Glutaryl-CoA:(acceptor) 2,3-oxidoreductase (decarboxylating)"	Glutaryl-CoA + FAD => FADH2 + Crotonoyl-CoA + CO2	C00527 + C00016 => C01352 + C00877 + C00011	0	1.3.99.7	OE4500R	VNG2499G	Reaction	
R04594		"N1-(5-Phospho-alpha-D-ribosyl)-5,6-dimethylbenzimidazole + H2O => alpha-Ribazole + Orthophosphate"	C04778 + C00001 => C05775 + C00009	0	3.1.3.73			Reaction	
R01728	Prephenate:NAD+ oxidoreductase(decarboxylating)	Prephenate + NAD+ => 3-(4-Hydroxyphenyl)pyruvate + CO2 + NADH + H+	C00254 + C00003 => C01179 + C00011 + C00004 + C00080	0	1.3.1.12 1.3.1.52 1.3.1.43	OE2770F	VNG1235C	Reaction	
R03012	L-Histidinol:NAD+ oxidoreductase	L-Histidinol + NAD+ => L-Histidinal + NADH + H+	C00860 + C00003 => C01929 + C00004 + C00080	0	1.1.1.23	OE3071F	VNG1444G	Reaction	PMID:3700337
R00566	L-Arginine carboxy-lyase	L-Arginine => Agmatine + CO2	C00062 => C00179 + C00011	0	4.1.1.19	OE3803R	VNG1999H	Reaction	
R03181		4-Maleylacetoacetate <=> 4-Fumarylacetoacetate	C01036 <=> C01061	1	5.2.1.2			Reaction	
R03777	Octanoyl-CoA:oxygen 2-oxidoreductase	Octanoyl-CoA + FAD => trans-Oct-2-enoyl-CoA + FADH2	C01944 + C00016 => C05276 + C01352	0	1.3.3.6 1.3.99.3 1.3.99.13	OE2710F OE1555F OE2013R OE2138F OE3123R OE4500R	VNG1191G VNG0371G VNG0679G VNG0775G VNG1482G VNG2499G	Reaction	
R03815	Dihydrolipoylprotein:NADP+ oxidoreductase	Dihydrolipoylprotein + NADP+ <=> Lipoylprotein + NADPH	C02972 + C00006 <=> C02051 + C00005	1	1.8.1.4	OE4116F	VNG2220G	Reaction	
R01548	dATP:cytidine 5'-phosphotransferase	dATP + Cytidine => dADP + CMP	C00131 + C00475 => C00206 + C00055	0	2.7.1.48	OE2749F	VNG1219G	Reaction	
R00762	"D-Fructose-1,6-bisphosphate 1-phosphohydrolase"	"D-Fructose 1,6-bisphosphate + H2O => D-Fructose 6-phosphate + Orthophosphate"	C00354 + C00001 => C00085 + C00009	0	3.1.3.11	OE2020F	VNG0684G	Reaction	PMID:2256927 PMID:3255682 PMID:6642538 PMID:9827332
R01446	(S)-Lactaldehyde:NAD+ oxidoreductase	(S)-Lactaldehyde + NAD+ + H2O => (S)-Lactate + NADH	C00424 + C00003 + C00001 => C00186 + C00004	0	1.2.1.22	OE4529F OE2133R OE2190R OE2367F	VNG2513G VNG0771G VNG0808G VNG0937G	Reaction	
R00121		Oxygen + H2O + Sulfur <=> Hydrogen sulfide + Sulfite	C00007 + C00001 + C00087 <=> C00283 + C00094	1	1.13.99.-			Reaction	
R04751	"Hexanoyl-CoA:(acceptor) 2,3-oxidoreductase"	Hexanoyl-CoA + FAD => trans-Hex-2-enoyl-CoA + FADH2	C05270 + C00016 => C05271 + C01352	0	1.3.3.6 1.3.99.2 1.3.99.3 1.3.99.13	OE2013R OE2710F OE1555F OE2138F OE3123R OE4500R	VNG0679G VNG1191G VNG0371G VNG0775G VNG1482G VNG2499G	Reaction	
R00158	ATP:nucleoside-phosphate phosphotransferase	ATP + UMP <=> ADP + UDP	C00002 + C00105 <=> C00008 + C00015	1	2.7.4.14	OE3429F	VNG1727G	Reaction	
R01325	Citrate hydro-lyase	Citrate <=> cis-Aconitate + H2O	C00158 <=> C00417 + C00001	1	4.2.1.3 4.2.1.4	OE4613F	VNG2574G	Reaction	PMID:5780095 PMID:9827332
R04743	(S)-Hydroxydecanoyl-CoA:NAD+ oxidoreductase	(S)-Hydroxydecanoyl-CoA + NAD+ <=> 3-Oxodecanoyl-CoA + NADH	C05264 + C00003 <=> C05265 + C00004	1	1.1.1.35	OE2015R	VNG0681G	Reaction	
R90019	ABC-T L-Histidine	L-Histidine (E) + ATP + H2O => L-Histidine + ADP + Orthophosphate + H+	CE00135 + C00002 + C00001 => C00135 + C00008 + C00009 + C00080	0				Membrane Transport	
R01226	"5,10-Methylenetetrahydrofolate:3-methyl-2-oxobutanoate hydroxymethyltransferase"	"5,10-Methylenetetrahydrofolate + 3-Methyl-2-oxobutanoate + H2O => Tetrahydrofolate + 2-Dehydropantoate"	C00143 + C00141 + C00001 => C00101 + C00966	0	2.1.2.11	OE3119R	VNG1478G	Reaction	
R00965	Orotidine-5'-phosphate carboxy-lyase	Orotidine 5'-phosphate => UMP + CO2	C01103 => C00105 + C00011	0	4.1.1.23	OE3363F	VNG1673G	Reaction	PMID:10672188
R04292		"Iminoaspartate + Glycerone phosphate => Pyridine-2,3-dicarboxylate + H2O + Orthophosphate"	C05840 + C00111 => C03722 + C00001 + C00009	0	4.1.99.-	OE3644F	VNG1882G	Reaction	
R90142	MoCo Metabolism	Molybdenum cofactor + GTP => MoCo dinucleotide (Guanine) + Pyrophosphate	C90011 + C00044 => C90012 + C00013	0		OE2217R OE2219R	VNG0824G VNG0825C	Reaction	
R01072	5-Phosphoribosylamine:pyrophosphate phosphoribosyltransferase (glutamate-amidating)	L-Glutamine + 5-Phospho-alpha-D-ribose 1-diphosphate + H2O => 5-Phosphoribosylamine + Pyrophosphate + L-Glutamate	C00064 + C00119 + C00001 => C03090 + C00013 + C00025	0	2.4.2.14	OE3139R	VNG1493G	Reaction	
R05680	sn-Glycerol-1-phosphate:NADP 2-oxidoreductase	Glycerone phosphate + NADPH + H+ => Glycerol 1-phosphate + NADP+	C00111 + C00005 + C00080 => C00623 + C00006	0	1.1.1.261	OE1602F	VNG0406C	Reaction	PMID:9973362
R90121	Symport: (Adenine:H+)	Adenine (E) + H+ (pmf associated) => Adenine + H+	CE00147 + C90000 => C00147 + C00080	0		OE3950R	VNG2116C	Membrane Transport	PMID:9457844
R05813		Cobalt-dihydro-precorrin 6 + S-Adenosyl-L-methionine => Cobalt-precorrin 8 + S-Adenosyl-L-homocysteine + CO2	C11543 + C00019 => C11545 + C00021 + C00011	0	2.1.1.132	OE3207F OE3238F	VNG1550G VNG1568G	Reaction	
R00405	Succinate:CoA ligase (ADP-forming)	ATP + Succinate + CoA <=> ADP + Orthophosphate + Succinyl-CoA	C00002 + C00042 + C00010 <=> C00008 + C00009 + C00091	1	6.2.1.5	OE3195F OE3196F	VNG1541G VNG1542G	Reaction	PMID:5780095 PMID:9827332
R04744	(S)-Hydroxydecanoyl-CoA hydro-lyase	(S)-Hydroxydecanoyl-CoA <=> trans-Dec-2-enoyl-CoA + H2O	C05264 <=> C05275 + C00001	1	4.2.1.17	OE3846R	VNG2032G	Reaction	
R02164	Succinate:ubiquinone oxidoreductase	Succinate + Menaquinone <=> Fumarate + Menaquinol	C00042 + C00828 <=> C00122 + C05819	1	1.3.5.1	OE2865R OE2866R OE2867R OE2868R	VNG1306G VNG1308G VNG1309G VNG1310G	Reaction	PMID:11803024 PMID:4004256 PMID:5780095 PMID:9827332
R00479	Isocitrate glyoxylate-lyase	Isocitrate <=> Succinate + Glyoxylate	C00311 <=> C00042 + C00048	1	4.1.3.1			Reaction	PMID:5780095
R02984	dTDPglucose 4-epimerase	dTDPglucose <=> dTDPgalactose	C00842 <=> C02097	1	5.1.3.2	OE2110R OE1113R	VNG0752G VNG0063G	Reaction	
R00086	ATP Hydrolisis	ATP + H2O => ADP + Orthophosphate	C00002 + C00001 => C00008 + C00009	0	3.6.1.15	OE3863R	VNG2043G	Reaction	
R02014	2'-Deoxyadenosine 5'-triphosphate:oxydized-thioredoxin 2'-oxidoreductase	dATP + Oxidized thioredoxin + H2O <=> ATP + Thioredoxin	C00131 + C00343 + C00001 <=> C00002 + C00342	1	1.17.4.2	OE3328R OE4345R OE4346R	VNG1644G VNG2383G VNG2384G	Reaction	
R90136	Diffusion: (Methanethiol)	Methanethiol <=> Methanethiol (E)	C00409 <=> CE00409	1				Membrane Transport	PMID:8206953
R00927	Propanoyl-CoA:acetyl-CoA C-acyltransferase	CoA + 2-Methylacetoacetyl-CoA <=> Propanoyl-CoA + Acetyl-CoA	C00010 + C03344 <=> C00100 + C00024	1	2.3.1.16	OE3884F	VNG2063G	Reaction	
R90071	Diffusion: (CO2)	CO2 (E) <=> CO2	CE00011 <=> C00011	1				Membrane Transport	
R03823		Lycopene + NADPH => beta-Carotene + NADP+	C05432 + C00005 => C02094 + C00006	0	-	OE3983R	VNG2137G	Reaction	PMID:12003928
R90060		FADH2 + Menaquinone => FAD + Menaquinol	C01352 + C00828 => C00016 + C05819	0	1.3.99.1	OE2865R OE2866R OE2867R OE2868R	VNG1306G VNG1308G VNG1309G VNG1310G	Reaction	
R01051	ATP:D-ribose 5-phosphotransferase	ATP + D-Ribose => ADP + D-Ribose 5-phosphate	C00002 + C00121 => C00008 + C00117	0	2.7.1.15	OE3606R	VNG1851G	Reaction	
R00354	(3S)-Citryl-CoA oxaloacetate-lyase	(3S)-Citryl-CoA <=> Acetyl-CoA + Oxaloacetate	C00566 <=> C00024 + C00036	1	4.1.3.34	OE1942F	VNG0627G	Reaction	
R04037	"Phosphoribosyl-AMP 1,6-hydrolase"	Phosphoribosyl-AMP + H2O <=> 5-(5-Phospho-D-ribosylaminoformimino)-1-(5-phosphoribosyl)-	C02741 + C00001 <=> C04896	1	3.5.4.19	OE4199R	VNG2284G	Reaction	PMID:3700337
R03471	ATP:4-amino-5-hydroxymethyl-2-methylpyrimidine 5-phosphotransferase	ATP + 4-Amino-5-hydroxymethyl-2-methylpyrimidine => ADP + 4-Amino-2-methyl-5-phosphomethylpyrimidine	C00002 + C01279 => C00008 + C04556	0	2.7.1.49	OE4654F	VNG2606G	Reaction	
R01561	Adenosine:orthophosphate ribosyltransferase	Adenosine + Orthophosphate <=> Adenine + alpha-D-Ribose 1-phosphate	C00212 + C00009 <=> C00147 + C00442	1	2.4.2.1			Reaction	PMID:9457844
R03504	"2-Amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8- dihydropteridine glycolaldehyde-lyase"	"2-Amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8- <=> Glycolaldehyde + 2-Amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine"	C04874 <=> C00266 + C01300	1	4.1.2.25			Reaction	
R00188	"Adenosine 3',5'-bisphosphate 3'(2')-phosphohydrolase"	"Adenosine 3',5'-bisphosphate + H2O => AMP + Orthophosphate"	C00054 + C00001 => C00020 + C00009	0	3.1.3.7			Reaction	
R02412	ATP:shikimate 3-phosphotransferase	ATP + Shikimate => ADP + Shikimate 3-phosphate	C00002 + C00493 => C00008 + C03175	0	2.7.1.71	OE2785R	VNG1245C	Reaction	PMID:3700337
R01512	ATP:3-phospho-D-glycerate 1-phosphotransferase	ATP + 3-Phospho-D-glycerate <=> ADP + 3-Phospho-D-glyceroyl phosphate	C00002 + C00197 <=> C00008 + C00236	1	2.7.2.3	OE2745R	VNG1216G	Reaction	PMID:2256927 PMID:9827332
R01015	D-Glyceraldehyde-3-phosphate ketol-isomerase	D-Glyceraldehyde 3-phosphate <=> Glycerone phosphate	C00118 <=> C00111	1	5.3.1.1	OE2500R	VNG1027G	Reaction	PMID:2256927 PMID:9827332
R03045	3-Hydroxypropionyl-CoA hydro-lyase	3-Hydroxypropionyl-CoA <=> Propenoyl-CoA + H2O	C05668 <=> C00894 + C00001	1	4.2.1.17	OE3846R	VNG2032G	Reaction	
R90058	Symport: (Biotin:H+)	Biotin (E) + H+ (pmf associated) => Biotin + H+	CE00120 + C90000 => C00120 + C00080	0				Membrane Transport	
R01567	ATP:thymidine 5'-phosphotransferase	ATP + Thymidine => ADP + dTMP	C00002 + C00214 => C00008 + C00364	0	2.7.1.21	OE3159R	VNG1515G	Reaction	
R00286	UDPglucose:NAD+ oxidoreductase	UDPglucose + H2O + NAD+ <=> UDPglucuronate + NADH + H+	C00029 + C00001 + C00003 <=> C00167 + C00004 + C00080	1	1.1.1.22	OE1077R OE2524R	VNG0046G VNG1048G	Reaction	
R02099	ATP:deoxyuridine 5'-phosphotransferase	ATP + Deoxyuridine => ADP + dUMP	C00002 + C00526 => C00008 + C00365	0	2.7.1.21	OE3159R	VNG1515G	Reaction	
R00711	Acetaldehyde:NADP+ oxidoreductase	Acetaldehyde + NADP+ + H2O => Acetate + NADPH + H+	C00084 + C00006 + C00001 => C00033 + C00005 + C00080	0	1.2.1.3	OE2133R OE2190R OE2367F OE4529F	VNG0771G VNG0808G VNG0937G VNG2513G	Reaction	
R01858	dATP:pyruvate O2-phosphotransferase	dGDP + Phosphoenolpyruvate => dGTP + Pyruvate	C00361 + C00074 => C00286 + C00022	0	2.7.1.40	OE1495R	VNG0324G	Reaction	
R02147	Guanosine:orthophosphate ribosyltransferase	Guanosine + Orthophosphate <=> Guanine + alpha-D-Ribose 1-phosphate	C00387 + C00009 <=> C00242 + C00442	1	2.4.2.1			Reaction	PMID:9457844
R00789	ammonium-hydroxide:NAD(P)+ oxidoreductase	Nitrite + NADPH + H+ => NADP+ + NH3 + H2O	C00088 + C00005 + C00080 => C00006 + C00014 + C00001	0	1.7.1.4			Reaction	PMID:629538
R04457	"6,7-Dimethyl-8-(1-D-ribityl)lumazine:6,7-dimethyl-8-(1-D-ribityl) lumazine 2,3-butanediyltransferase"	"4-(1-D-Ribitylamino)-5-amino-2,6-dihydroxypyrimidine + 3, 4-Dihydroxy-2-butanone 4-phosphate => 6,7-Dimethyl-8-(1-D-ribityl)lumazine + Orthophosphate + H2O"	C04732 + C15556 => C04332 + C00009 + C00001	0	2.5.1.9	OE1946R OE4683F	VNG0630G VNG2624G	Reaction	
R90081	Symport: (Thymidine:H+)	Thymidine (E) + H+ (pmf associated) => Thymidine + H+	CE00214 + C90000 => C00214 + C00080	0				Membrane Transport	
R00439	Polyribonucleotide:orthophosphate nucleotidyltransferase	GDP => Orthophosphate + GMP	C00035 => C00009 + C00144	0	2.7.7.8	OE1818R	VNG0549G	Reaction	
R04747	Hexanoyl-CoA:acetyl-CoA C-acyltransferase	Hexanoyl-CoA + Acetyl-CoA <=> CoA + 3-Oxooctanoyl-CoA	C05270 + C00024 <=> C00010 + C05267	1	2.3.1.16	OE3884F	VNG2063G	Reaction	
R01199	2-oxobutanoate:ferredoxin 2-oxidoreductase (CoA-propionylating)	Oxidized ferredoxin + 2-Oxobutanoate + CoA <=> Reduced ferredoxin + Propanoyl-CoA + CO2	C00139 + C00109 + C00010 <=> C00138 + C00100 + C00011	1	1.2.7.1 1.2.7.2	OE2622R OE2623R	VNG1125G VNG1128G	Reaction	PMID:6816594
R00190	AMP:pyrophosphate phosphoribosyltransferase	Adenine + 5-Phospho-alpha-D-ribose 1-diphosphate => AMP + Pyrophosphate	C00147 + C00119 => C00020 + C00013	0	2.4.2.7	OE1504F	VNG0335G	Reaction	PMID:9457844
R00472	L-Malate glyoxylate-lyase (CoA-acetylating)	Acetyl-CoA + H2O + Glyoxylate => (S)-Malate + CoA	C00024 + C00001 + C00048 => C00149 + C00010	0	2.3.3.9			Reaction	PMID:5780095
R00355	L-Aspartate:2-oxoglutarate aminotransferase	L-Aspartate + 2-Oxoglutarate <=> Oxaloacetate + L-Glutamate	C00049 + C00026 <=> C00036 + C00025	1	2.6.1.1	OE1755F OE1944R OE2619F	VNG0502G VNG0629G VNG1121G	Reaction	
R00351	Citrate oxaloacetate-lyase ((pro-3S)-CH2COO- -> acetyl-CoA)	Acetyl-CoA + H2O + Oxaloacetate => Citrate + CoA	C00024 + C00001 + C00036 => C00158 + C00010	0	2.3.3.1 2.3.3.3	OE3934R	VNG2102G	Reaction	PMID:5780095 PMID:9827332
R02332	dUTP:uridine 5'-phosphotransferase	dUTP + Uridine => dUDP + UMP	C00460 + C00299 => C01346 + C00105	0	2.7.1.48	OE2749F	VNG1219G	Reaction	
R00847	ATP:glycerol 3-phosphotransferase	ATP + Glycerol => ADP + sn-Glycerol 3-phosphate	C00002 + C00116 => C00008 + C00093	0	2.7.1.30	OE3762R	VNG1967G	Reaction	PMID:3255682 PMID:3700337
R00702	Farnesyl-diphosphate:farnesyl-diphosphate farnesyltransferase	"trans,trans-Farnesyl diphosphate => Pyrophosphate + Presqualene diphosphate + H+"	C00448 => C00013 + C03428 + C00080	0	2.5.1.21	OE2014F	VNG0680G	Reaction	PMID:2857171
R01513	3-Phospho-D-glycerate:NAD+ 2-oxidoreductase	3-Phospho-D-glycerate + NAD+ <=> 3-Phosphonooxypyruvate + NADH + H+	C00197 + C00003 <=> C03232 + C00004 + C00080	1	1.1.1.95	OE1165R OE3065R OE4408F	VNG0104G VNG1437G VNG2424G	Reaction	
R01397	Carbamoyl-phosphate:L-aspartate carbamoyltransferase	Carbamoyl phosphate + L-Aspartate => Orthophosphate + N-Carbamoyl-L-aspartate	C00169 + C00049 => C00009 + C00438	0	2.1.3.2	OE5201F OE5202F	VNG6309G VNG6311G	Reaction	
R01859	Propanoyl-CoA:carbon-dioxide ligase (ADP-forming)	ATP + Propanoyl-CoA + HCO3- => ADP + Orthophosphate + (S)-2-Methyl-3-oxopropanoyl-CoA	C00002 + C00100 + C00288 => C00008 + C00009 + C00683	0	6.4.1.3	OE1939F OE3175F	VNG0623G VNG1529G	Reaction	
R01701	3-Methyl-2-oxobutanoate:lipoamide oxidoreductase(decarboxylating and acceptor-2-methylpropanoylating)	3-Methyl-2-oxobutanoate + Lipoamide => S-(2-Methylpropanoyl)-dihydrolipoamide + CO2	C00141 + C00248 => C04424 + C00011	0	1.2.4.4	OE4114F OE4113F OE3712R	VNG2218G VNG2217G VNG1926G	Reaction	
R90123	Symport: (Hypoxanthine:H+)	Hypoxanthine (E) + H+ (pmf associated) => Hypoxanthine + H+	CE00262 + C90000 => C00262 + C00080	0		OE3950R	VNG2116C	Membrane Transport	PMID:9457844
R02198	L-Isoleucine:2-oxoglutarate aminotransferase	L-Isoleucine + 2-Oxoglutarate <=> 3-Methyl-2-oxopentanoate + L-Glutamate	C00407 + C00026 <=> C03465 + C00025	1	2.6.1.42	OE3959R	VNG2122G	Reaction	
R00428	"GTP 7,8-8,9-dihydrolase"	GTP + H2O => Formamidopyrimidine nucleoside triphosphate	C00044 + C00001 => C05922	0	3.5.4.16			Reaction	PMID:17032654
R04638		"2-Amino-4-hydroxy-6-(erythro-1,2,3-trihydroxypropyl) + H2O => Dihydroneopterin phosphate + Pyrophosphate"	C04895 + C00001 => C05925 + C00013	0	3.6.1.-			Reaction	
R03508	1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose-5-phosphate carboxy-lyase(cyclizing)	1-(2-Carboxyphenylamino)-1'-deoxy-D-ribulose 5'-phosphate => Indoleglycerol phosphate + CO2 + H2O	C01302 => C03506 + C00011 + C00001	0	4.1.1.48	OE1469F	VNG0305G	Reaction	
R00257	Deamido-NAD+:L-glutamine amido-ligase (AMP-forming)	ATP + Deamino-NAD+ + L-Glutamine + H2O => AMP + Pyrophosphate + NAD+ + L-Glutamate	C00002 + C00857 + C00064 + C00001 => C00020 + C00013 + C00003 + C00025	0	6.3.5.1	OE3843F	VNG2031G	Reaction	
R06558		Adenosyl cobinamide + GTP => Adenosyl cobinamide phosphate + GDP	C06508 + C00044 => C06509 + C00035	0	2.7.1.156			Reaction	
R90127	Excretion: (Adenosine)	Adenosine => Adenosine (E)	C00212 => CE00212	0				Membrane Transport	
R01665	ATP:CMP phosphotransferase	ATP + dCMP => ADP + dCDP	C00002 + C00239 => C00008 + C00705	0	2.7.4.14	OE3429F	VNG1727G	Reaction	
R90078	Antiport: (Oxalate:Formate)	Oxalate (E) + Formate => Oxalate + Formate (E)	CE00209 + C00058 => C00209 + CE00058	0		OE1265F	VNG0157G	Membrane Transport	
R02472	(R)-Pantoate:NADP+ 2-oxidoreductase	(R)-Pantoate + NADP+ <=> 2-Dehydropantoate + NADPH	C00522 + C00006 <=> C00966 + C00005	1	1.1.1.169	OE2078R	VNG0730C	Reaction	
R90106	Excr ABC-T: (Daunorubicin)	Daunorubicin + ATP + H2O => Daunorubicin (E) + Orthophosphate + ADP + H+	C01907 + C00002 + C00001 => CE01907 + C00009 + C00008 + C00080	0		OE1704R	VNG0470G	Membrane Transport	
R90041	Symport: (L-Phenylalanine:H+)	L-Phenylalanine (E) + H+ (pmf associated) => L-Phenylalanine + H+	CE00079 + C90000 => C00079 + C00080	0		OE2779F	VNG1240G	Membrane Transport	PMID:889797
R00161	ATP:FMN adenylyltransferase	ATP + FMN => Pyrophosphate + FAD	C00002 + C00061 => C00013 + C00016	0	2.7.7.2			Reaction	
R01521	beta-D-Glucose:NADP+ 1-oxoreductase	"NADP+ + D-Glucose <=> D-Glucono-1,5-lactone + NADPH"	C00006 + C00031 <=> C00198 + C00005	1	1.1.1.47			Reaction	PMID:10650712
R90064	Archaeol Synthesis Geranylgeranyl chain reductions.	"2,3-Bis-O-(geranylgeranyl)glycerol 1-phosphate + H2O + NADPH + H+ => 2,3-Di-O-phytanyl-sn-glycerol + Orthophosphate + NADP+"	C04638 + C00001 + C00005 + C00080 => C13863 + C00009 + C00006	0				Reaction	PMID:16788058
R05577	L-Aspartate:tRNA(Asp) ligase (AMP-forming)	tRNA(Asp) + L-Aspartate + ATP <=> L-Aspartyl-tRNA(Asp) + Pyrophosphate + AMP	C01638 + C00049 + C00002 <=> C02984 + C00013 + C00020	1	6.1.1.12	OE1687F	VNG0461G	Reaction	
R01138	dATP:pyruvate O2-phosphotransferase	dADP + Phosphoenolpyruvate => dATP + Pyruvate	C00206 + C00074 => C00131 + C00022	0	2.7.1.40	OE1495R	VNG0324G	Reaction	
R02291	L-Aspartate-4-semialdehyde:NADP+ oxidoreductase (phosphorylating)	4-Phospho-L-aspartate + NADPH + H+ => L-Aspartate 4-semialdehyde + Orthophosphate + NADP+	C03082 + C00005 + C00080 => C00441 + C00009 + C00006	0	1.2.1.11	OE3063F	VNG1435G	Reaction	
R00782	L-Cysteine L-homocysteine-lyase (deaminating)	Hydrogen sulfide + Pyruvate + NH3 => L-Cysteine + H2O	C00283 + C00022 + C00014 => C00097 + C00001	0	4.4.1.1 4.4.1.8	OE2173F OE2681F	VNG0796G VNG1172G	Reaction	
R00968	GTP:uridine 5'-phosphotransferase	GTP + Uridine => GDP + UMP	C00044 + C00299 => C00035 + C00105	0	2.7.1.48	OE2749F	VNG1219G	Reaction	
R05812		Cobalt-precorrin 6 + NADPH + H+ => Cobalt-dihydro-precorrin 6 + NADP+	C11542 + C00005 + C00080 => C11543 + C00006	0	1.3.1.54			Reaction	
